Month,all fuels (utility-scale) thousand megawatthours,coal thousand megawatthours,natural gas thousand megawatthours,nuclear thousand megawatthours,conventional hydroelectric thousand megawatthours,wind thousand megawatthours,all solar thousand megawatthours,petroleum liquids thousand megawatthours,petroleum coke thousand megawatthours,other gases thousand megawatthours,all utility-scale solar thousand megawatthours,geothermal thousand megawatthours,biomass thousand megawatthours,wood and wood-derived fuels thousand megawatthours,other biomass thousand megawatthours,hydro-electric pumped storage thousand megawatthours,other thousand megawatthours,small-scale solar photovoltaic thousand megawatthours
Dec 2022,363624.58257,73164.12069,141137.63611,69094.147,21870.06448,39282.36741,10533.92877,3815.32988,785.48835,1042.95074,7032.68994,1563.6476,4515.40189,3113.6095,1401.79239,-554.333,875.07148,3501.23883
Nov 2022,322958.83812,56169.75355,126944.16353,62041.287,18764.33935,41826.24681,12336.27439,937.27001,627.72717,964.07536,8484.29415,1468.89924,4365.03479,3004.3505,1360.68429,-495.12,860.86715,3851.98024
Oct 2022,314110.95176,54071.14987,133024.80631,58945.383,14638.18031,32824.49128,17041.81706,990.09851,573.79724,985.07552,12251.95176,1344.27536,4057.32244,2647.08738,1410.23506,-434.352,838.77216,4789.8653
Sep 2022,350722.26042,64816.58584,156285.99518,63733.186,16812.16309,27031.99474,18785.90551,996.33411,622.82527,1048.87927,13504.3642,1412.08405,4212.65242,2871.3687,1341.28372,-597.956,843.15224,5281.54131
Aug 2022,412709.72597,84999.51346,189196.94891,68896.917,21713.13799,24354.65788,20351.71528,1022.2068,564.10159,1020.18639,14441.75648,1442.28181,4776.52563,3350.80208,1425.72355,-639.609,921.10103,5909.9588
Jul 2022,424013.4453,86263.23707,190437.28585,68856.919,24192.81754,29302.23022,21906.84005,1004.35633,482.38737,1133.47697,15749.44486,1438.13038,4945.92456,3477.84117,1468.08339,-768.422,975.65714,6157.39519
Jun 2022,380648.53749,73286.9791,156241.69198,65715.42,26892.27841,33482.6975,21998.1736,912.1531,664.94222,998.05721,16057.5899,1363.39753,4679.14139,3238.96126,1440.18013,-589.065,943.25416,5940.5837
May 2022,342215.44199,62224.6456,127713.78371,63381.62449,23071.36486,41667.50913,21144.59812,861.28757,666.83773,1060.84259,15198.48441,1383.9602,4492.62509,3051.91688,1440.70821,-466.746,959.22263,5946.11371
Apr 2022,303323.60424,55023.36789,105729.11262,55289.54,19572.91049,45960.4019,18884.58478,745.48868,496.43519,913.63033,13475.8951,1332.82663,4108.18846,2730.89749,1377.29097,-265.226,941.03296,5408.68968
Mar 2022,324771.62302,60742.51529,111806.06629,63153.701,25356.17477,43014.32896,16798.14342,966.41648,462.5918,896.36042,11897.85297,1376.1118,4446.31632,3012.22373,1434.09259,-317.508,970.6949,4900.29045
Feb 2022,326930.70654,70745.91462,115537.94864,61852.177,22903.50039,37984.32481,12909.68662,1021.03379,624.87277,836.96839,9333.09651,1310.36567,4300.70069,2980.97168,1319.72901,-412.258,892.06128,3576.59011
Jan 2022,377106.44154,87485.14361,135409.06699,70576.875,26212.55012,38080.39835,11418.15516,3002.40438,536.69168,983.96521,8170.89297,1566.02685,4558.29537,3089.18251,1469.11286,-493.31,1017.441,3247.26219
Dec 2021,337161.75396,60024.59585,127643.88434,70719.837,23561.87556,39849.02762,9061.0693,968.57341,591.31342,929.51962,6090.86526,1484.38893,4670.07209,3133.58848,1536.48361,-445.116,1072.91688,2970.20404
Nov 2021,314254.44634,57312.86533,122490.94882,62749.318,19373.24966,35751.09063,11054.16073,887.2629,783.01384,870.79062,7795.101,1365.54138,4283.17944,2890.03537,1393.14407,-377.48,969.56471,3259.05973
Oct 2021,318754.23482,62572.1427,131860.42719,56944.505,17132.93623,32215.11144,13088.99226,894.73182,654.85506,1062.11614,9268.03855,1318.78667,4275.13376,2835.16419,1439.96957,-426.772,982.22226,3820.95371
Sep 2021,347711.72348,78876.84017,138181.35126,64520.031,17022.26652,28997.8029,15584.01297,950.94211,638.03491,984.18791,11214.24963,1343.18057,4442.07531,3005.47035,1436.60496,-433.843,974.60421,4369.76334
Aug 2021,412885.74893,101854.5988,172735.43574,69471.331,20328.14723,27071.12204,16891.19396,1198.38657,746.60468,1030.5131,11966.82782,1336.9274,4784.21246,3314.67231,1469.54015,-669.751,1031.39311,4924.36614
Jul 2021,405648.92394,101536.5367,170213.70162,68831.593,22097.51226,21715.55151,17384.07738,883.33058,680.53821,1046.38737,12191.6812,1350.66167,4744.99804,3248.11556,1496.88248,-684.75,1041.18178,5192.39618
Jun 2021,373872.07215,87264.60172,149390.48061,66070.373,23454.07921,26671.53368,17303.9438,932.3241,453.23488,973.79693,12196.77663,1277.26265,4557.32064,3087.72548,1469.59516,-375.57,1005.85811,5107.16717
May 2021,320174.39174,63872.72048,114668.74836,63394.115,23308.96396,33786.50791,17519.84666,835.67811,533.94187,914.34588,12457.16045,1334.50728,4480.55076,2966.3967,1514.15406,-416.186,1003.33768,5062.68621
Apr 2021,293322.38853,53956.13351,107430.33045,57092.024,19388.82781,36157.80676,15502.04998,802.27577,422.17961,870.92859,10891.71409,1287.7257,4250.48517,2784.98826,1465.49691,-197.219,969.17609,4610.33589
Mar 2021,311376.97121,61903.96388,106998.67385,63708.238,21220.43408,39205.24802,13454.48883,790.78172,644.96806,860.14684,9296.18165,1241.81021,4682.23945,3108.43261,1573.80684,-235.581,1059.86645,4158.30718
Feb 2021,323899.40694,87470.49993,111183.5473,62954.16,20136.50917,26715.50092,9269.54941,1587.92634,660.31305,819.63878,6330.40705,1287.22154,4258.10208,2859.18182,1398.92026,-425.07,920.65079,2939.14236
Jan 2021,349240.77275,81239.77891,126563.42846,71732.463,24560.04066,30060.4714,8309.06463,933.27199,701.65033,1034.86547,5559.24502,1346.75302,4823.85643,3228.9015,1594.95493,-424.346,1109.29406,2749.81961
Dec 2020,344523.41279,78587.62866,127863.17223,69870.978,21507.84718,32010.64517,7580.39219,940.13392,750.75964,999.39612,5091.42256,1402.81632,4697.59141,3148.15711,1549.4343,-367.521,1168.54258,2488.96963
Nov 2020,301402.9637,61182.18639,109810.78026,61759.977,20892.65917,33129.4051,8453.28574,799.50087,612.03774,949.81772,5766.51939,1398.78914,4403.98036,2951.33396,1452.6464,-369.222,1066.53258,2686.76635
Oct 2020,313703.43883,59804.58904,131412.57892,59362.465,18810.4061,28822.66268,10395.32693,876.47313,350.67214,917.74663,7085.18487,1287.56105,4329.22473,2840.22226,1489.00247,-423.243,1067.11754,3310.14206
Sep 2020,333493.03669,68406.74534,141397.45495,65727.317,18678.80991,23185.97755,11453.82366,755.06805,438.94776,1012.92354,7732.32157,1288.00469,4378.30545,2895.42614,1482.87931,-524.729,1015.88989,3721.50209
Aug 2020,398535.59244,91145.41119,173644.41702,68982.187,23283.5577,23029.3319,13513.9375,886.91215,787.40975,1093.53891,9315.42156,1323.0241,4720.75114,3159.94069,1560.81045,-783.638,1107.26802,4198.51594
Jul 2020,409871.25996,89709.48262,181568.06361,69385.44,26741.77947,22866.19821,15015.04895,914.10259,837.22397,937.32744,10609.77315,1331.28691,4563.63234,3022.17972,1541.45262,-685.626,1092.57565,4405.2758
Jun 2020,351967.18981,65283.16993,143055.42341,67205.083,27999.3837,30212.40523,13923.04582,817.51953,800.75603,866.53771,9654.00577,1274.12148,4279.30334,2822.90766,1456.39568,-498.931,1018.41168,4269.04005
May 2020,304836.8258,46526.62632,117185.64596,64337.97,29976.16051,28377.50536,13920.70376,691.13279,610.28554,884.25788,9653.40589,1362.26852,4508.32457,2918.80247,1589.5221,-366.733,1089.97549,4267.29787
Apr 2020,279846.21376,40675.20198,110563.81511,59170.016,23194.35466,29752.22898,11736.47773,625.7111,613.70786,802.06192,7920.7291,1378.9473,4401.40268,2843.80127,1557.60141,-325.03,1073.06708,3815.74863
Mar 2020,309869.69613,50730.62847,126186.58013,63997.21,23823.01748,29319.78293,9773.50166,690.99021,704.14849,1047.38361,6349.64464,1465.16841,4816.67716,3170.13766,1646.5395,-353.064,1091.5286,3423.85702
Feb 2020,319698.10627,56201.46779,128017.92848,65910.574,25868.06177,29110.49454,8184.13587,749.0634,540.08594,1152.06374,5561.4092,1230.17768,4632.17367,3119.95305,1512.22062,-246.677,971.28306,2622.72667
Jan 2020,342019.10952,65139.75937,136083.77995,74169.646,24497.85718,28121.41138,6771.41485,915.08513,633.28743,1155.42276,4458.87743,1147.5314,4980.24957,3326.08096,1654.16861,-376.791,1092.99293,2312.53742
Dec 2019,338536.1584,72580.73606,131973.42828,73073.575,21478.18136,26643.83983,5499.8331,988.1003,462.94444,1107.31772,3453.07527,1182.89427,4988.30064,3355.04425,1633.25639,-529.314,1133.07923,2046.75783
Nov 2019,315897.35204,75549.33857,117958.72597,64125.425,20217.59733,25184.35888,6591.54593,898.9982,333.34383,1046.53603,4363.99289,983.53162,4662.30017,3136.84318,1525.45699,-508.775,1081.97855,2227.55304
Oct 2019,320517.64482,66777.23093,131113.37797,62032.622,18305.81291,27624.5193,8925.99468,941.87975,199.93353,923.96425,6093.46647,1141.0516,4636.33257,3062.93881,1573.39376,-372.614,1100.06754,2832.52821
Sep 2019,360759.56925,85706.69196,149938.13228,66063.58,18525.75999,24513.46786,10022.19806,923.09095,580.75673,1111.96999,6817.21992,1367.61198,4740.4414,3210.84468,1529.59672,-671.214,1142.0602,3204.97814
Aug 2019,401731.65456,94039.70636,175270.24757,71910.684,22578.66752,19978.03073,11487.90701,1047.2504,683.97319,1147.35058,7876.55371,1393.1524,5174.33767,3538.62048,1635.71719,-579.012,1210.71243,3611.3533
Jul 2019,410364.89139,100770.78542,172281.64499,72198.595,24875.39844,22100.72207,11892.78073,1003.96205,790.80456,1185.36237,8132.64079,1375.35966,5115.29049,3498.40912,1616.88137,-622.347,1156.67256,3760.13994
Jun 2019,353239.3549,78539.50426,138087.41868,68804.879,28077.76308,22445.97049,11575.14488,956.57272,562.90323,1009.04108,7971.09298,1328.26327,4740.05515,3158.71323,1581.34192,-385.296,1101.18697,3604.0519
May 2019,330660.82267,71884.62525,117296.64899,67123.546,31982.04155,25779.38696,10710.6803,936.55146,737.39587,1054.01235,7161.89697,1341.83562,4614.42421,3050.61864,1563.80557,-368.281,1116.73845,3548.78333
Apr 2019,296952.61144,59922.45969,104348.63205,60580.927,27820.1768,28915.30603,9997.2463,781.94026,400.68709,947.68212,6752.27638,1254.00337,4316.74516,2807.17521,1509.56995,-103.221,1014.99649,3244.96992
Mar 2019,326903.25259,78351.61989,116059.14624,65079.691,26333.98533,25772.67842,8812.88461,816.19286,573.90075,1085.54793,5898.62563,1422.49852,4841.23103,3216.63766,1624.59337,-408.942,1077.07698,2914.25898
Feb 2019,315281.73224,79929.40881,112397.15916,64714.894,22880.53778,22622.75342,5894.64724,814.83039,691.97318,947.63357,3835.77281,1292.57815,4539.96277,3042.25273,1497.71004,-388.719,1002.94722,2058.87443
Jan 2019,359728.83511,100904.7043,121808.27731,73700.844,24797.80842,24301.4495,5483.40662,1412.68237,800.07459,1024.67624,3580.20841,1389.93655,5137.53199,3465.28412,1672.24787,-323.009,1193.65044,1903.19821
Dec 2018,342292.23263,100318.60014,109955.09663,71657.288,22797.16131,24306.28369,4884.51281,966.24203,794.77772,1120.49864,3109.63979,1446.08137,5203.34022,3404.05372,1799.2865,-522.071,1139.2941,1774.87302
Nov 2018,322466.03384,92818.59372,108265.01201,63954.37,21912.71643,22015.7339,5648.04713,1005.52022,655.61307,1045.11949,3742.76491,1330.84363,4987.86562,3263.57095,1724.29467,-342.707,1074.58785,1905.28222
Oct 2018,325070.15013,87263.62736,123280.44647,59396.905,19548.19092,21193.89801,7361.46637,1014.53529,562.17332,1016.00199,4969.69097,1273.09029,4959.33007,3215.94376,1743.38631,-492.202,1084.46247,2391.7754
Sep 2018,356557.95968,96543.99239,142085.1857,64724.753,19165.6208,18519.67063,8635.23462,1054.89646,799.13237,1104.35846,5960.90148,1327.90769,4870.17395,3280.61644,1589.55751,-603.113,1004.47976,2674.33314
Aug 2018,408352.1497,115129.45572,162000.63402,72282.467,22016.90536,19846.43699,9712.3077,1047.29781,879.4082,1301.00239,6695.40796,1367.05504,5387.32078,3629.80164,1757.51914,-747.235,1145.99343,3016.89974
Jul 2018,411616.68565,115376.37644,165075.42624,72456.009,25099.52896,16446.57439,9901.29598,988.45058,912.55752,1171.61965,6754.8758,1369.6113,5499.48729,3749.45617,1750.03112,-644.469,1110.63752,3146.42018
Jun 2018,372145.08425,101503.42674,131085.72296,69687.556,27597.48847,24702.85593,10473.77801,1066.26764,834.30011,1091.25976,7414.66701,1299.83478,5190.74362,3470.74859,1719.99503,-433.324,1104.28525,3059.111
May 2018,339228.26158,85227.3,115564.6383,67320.248,30444.28385,23953.12766,9860.22196,1040.29757,516.50757,1167.26417,6849.01231,1382.62025,5083.27688,3351.71509,1731.56179,-390.083,1069.76803,3011.20965
Apr 2018,301056.94542,73346.00643,98671.58527,59133.155,28115.15452,26430.85718,8796.43825,872.49843,665.78094,1098.51108,6056.72671,1187.93664,4827.56757,3101.86989,1725.69768,-376.898,1028.06366,2739.71154
Mar 2018,321765.18971,80625.66254,106742.01587,67032.656,25860.604,26463.70391,7490.19618,829.70515,642.13482,1158.37002,5056.23832,1366.75303,5369.20589,3547.44236,1821.76353,-489.962,1108.10218,2433.95786
Feb 2018,307057.65745,82050.18241,98675.2857,64790.03,24902.25758,23189.48924,5662.7551,803.93414,753.69955,1092.12141,3896.41408,1274.09258,4951.01487,3234.95066,1716.06421,-315.144,994.2799,1766.34102
Jan 2018,373379.35268,119284.11471,110441.98208,74649.04,25064.07663,25598.8222,4938.335,5555.29925,964.59787,1096.6219,3318.97521,1341.30742,5502.59686,3685.98967,1816.60719,-547.331,1109.24955,1619.35979
Dec 2017,350563.35929,106545.36665,111553.28604,73699.572,22247.84164,22200.68098,4506.85847,1958.20163,737.12166,1095.02378,3035.00469,1380.90954,5629.51145,3733.61332,1895.89813,-655.925,1136.76423,1471.85378
Nov 2017,308188.6823,90986.33924,95072.30676,66617.853,19888.33402,22614.8668,4769.85448,914.62724,755.23122,1001.04105,3208.74868,1304.68441,5230.92637,3426.08503,1804.84134,-478.107,1071.83053,1561.1058
Oct 2017,318731.20109,89775.52365,106895.19912,65994.785,17698.17945,24368.70291,6639.60775,973.3093,572.03618,998.16655,4649.67321,1214.12407,5031.11592,3303.26294,1727.85298,-462.982,1023.36773,1989.93454
Sep 2017,336003.83612,98202.04611,118131.70524,68097.918,19151.75538,17911.77474,7284.82088,931.18977,711.84724,1059.44268,5059.44137,1331.50304,4994.29649,3291.75095,1702.54554,-606.081,1026.99705,2225.37951
Aug 2017,384837.27633,119488.38491,141307.8281,72384.218,22033.85574,13878.84827,7848.17288,968.43419,764.67242,1133.2602,5368.53677,1362.99613,5575.45969,3750.56837,1824.89132,-638.234,1209.01591,2479.63611
Jul 2017,404537.00981,127697.82032,147041.80253,71314.219,26598.24651,16119.99604,8123.75179,920.16782,889.42612,1047.48826,5569.10622,1372.704,5526.6754,3702.89598,1823.77942,-759.494,1198.8516,2554.64557
Jun 2017,358630.10216,107508.32219,117351.49285,67010.782,30575.29559,20141.74696,8602.15011,991.37188,901.49215,992.97613,6115.379,1283.74953,5233.53099,3437.01072,1796.52027,-567.516,1091.47888,2486.77111
May 2017,323494.02168,92776.54135,98074.11624,61312.753,32607.11514,23067.63856,8208.21502,969.91291,847.08176,1055.75167,5785.02726,1301.85842,5038.25016,3188.45369,1849.79647,-423.168,1081.14321,2423.18776
Apr 2017,295461.51816,81335.3131,88562.36959,56743.352,29409.46563,25377.94296,7101.80352,859.65312,431.01533,1001.36048,4906.67802,1341.22069,4888.06589,3146.37597,1741.68992,-438.729,1043.81035,2195.1255
Mar 2017,319469.28011,89364.62027,95214.19971,65093.2,29613.19463,25730.61672,6486.54205,956.48727,699.0077,1060.24753,4514.08465,1387.18475,5303.37095,3455.80207,1847.56888,-521.035,1054.10094,1972.4574
Feb 2017,291112.63811,86822.18986,82836.97484,63560.371,23881.76459,22091.10927,4135.35386,868.83817,723.04468,977.64447,2751.19905,1238.87247,4882.63976,3185.52143,1697.11833,-507.911,985.90096,1384.15481
Jan 2017,344413.96966,115332.80828,95661.24708,73120.612,26627.88134,20798.77101,3570.01671,1101.91257,943.86291,1046.56389,2323.98616,1406.96716,5399.56907,3502.17798,1897.39109,-435.366,1085.15419,1246.03055
Dec 2016,345389.34354,118746.8419,96416.06528,71662.429,22527.76456,23145.52474,3590.66861,1166.03851,869.36773,1037.46174,2423.52344,1453.88363,5559.9408,3615.44862,1944.49218,-752.869,1133.37122,1167.14517
Nov 2016,297065.26075,86940.46241,93950.8325,65178.776,18808.26528,19405.64211,4023.9887,1070.37857,798.6936,1013.32614,2767.14449,1363.84969,5282.47073,3391.22211,1891.24862,-606.895,1092.31423,1256.84421
Oct 2016,312939.72788,99193.94367,102897.98607,60733.343,17338.85654,20335.38978,4743.28769,936.61507,634.76234,913.24353,3191.22418,1353.16742,4869.18666,3176.08278,1693.10388,-560.77,1102.77963,1552.06351
Sep 2016,351560.04384,114137.76825,125683.45081,65448.176,16367.68403,16403.64017,5370.44767,946.13586,979.99866,1020.32852,3635.06928,1326.67585,5163.99418,3407.35783,1756.63635,-715.35,1162.47225,1735.37839
Aug 2016,409861.38602,135634.73331,154926.02521,71526.405,19569.54914,13589.32615,5910.82805,1257.56542,1077.89722,1063.9224,3969.18623,1324.26364,5582.54517,3722.23578,1860.30939,-902.068,1242.03512,1941.64182
Jul 2016,412043.3651,136316.43397,151716.16396,70349.347,21455.32093,17618.35712,5945.07716,1272.71474,1048.83453,1076.85183,3944.79289,1311.2153,5498.1061,3657.69796,1840.40814,-783.894,1219.12075,2000.28427
Jun 2016,367903.54176,116034.38414,131522.99713,67175.324,23236.86739,16303.4413,5401.26493,972.19923,1004.58983,1043.21891,3473.49784,1251.39266,5208.02896,3413.56266,1794.4663,-497.303,1174.90338,1927.76709
